Feature,Screen / user action,HTTP method,Endpoint,Request structure,Response structure,Invalid payload response (4xx),Failure / edge-case response,External integration,Notes
Authentication,Sign In — tap Log In,POST,/auth/sign-in,"{usernameOrMobile: string, password: string}","{user: {id: string, name: string, email: string, phone: string, company: string, is_kyc_verified: boolean}, accessToken: string, refreshToken: string}","{code: ""VALIDATION_ERROR"", message: ""Enter your username/mobile number and password."", fields: {usernameOrMobile: ""Business: enter business username. Individual: enter username or valid UAE mobile number"", password: ""Password is required""}}","{code: ""AUTH_FAILED"", message: ""Username/mobile number or password is incorrect.""}; {code: ""ACCOUNT_SUSPENDED"", message: ""This account is suspended. Contact support for help.""}; {code: ""TOO_MANY_ATTEMPTS"", message: ""Too many login attempts. Reset your password or try again later.""}",None,Strict current SignInScreen payload: only the typed login identifier and Password. Business/Individual toggle changes the field label only; it is not sent as a sign-up/account-type field
Authentication,Create Business Account — submit registration and send OTP,POST,/auth/sign-up/business,"{companyName: string, username: string, registeredMobile: string, password: string}","{verificationId: string, contact: string, maskedContact: string, channel: 'sms', expiresAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Complete all required business account details."", fields: {companyName: ""Company name is required"", username: ""Choose a business username"", registeredMobile: ""Enter a valid UAE mobile number"", password: ""Password must meet security requirements""}}","{code: ""USERNAME_TAKEN"", message: ""This business username is already in use. Choose another one.""}; {code: ""MOBILE_ALREADY_REGISTERED"", message: ""This registered mobile number is already linked to an account.""}; {code: ""OTP_RATE_LIMIT"", message: ""Too many OTP requests. Please wait before requesting another code.""}",SMS provider,"Active navigation: Account Type → Create Business → Verify Account → Business KYC"
Authentication,Create Individual Account — submit registration and send OTP,POST,/auth/sign-up/individual,"{fullName: string, mobile: string, username: string, password: string, termsAccepted: boolean}","{verificationId: string, contact: string, maskedContact: string, channel: 'sms', expiresAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Complete all required individual account details."", fields: {fullName: ""Full name is required"", mobile: ""Enter a valid UAE mobile number"", username: ""Choose a username"", password: ""Password must meet security requirements"", termsAccepted: ""Accept the account terms""}}","{code: ""USERNAME_TAKEN"", message: ""This username is already in use. Choose another one.""}; {code: ""MOBILE_ALREADY_REGISTERED"", message: ""This mobile number is already linked to an account.""}; {code: ""OTP_RATE_LIMIT"", message: ""Too many OTP requests. Please wait before requesting another code.""}",SMS provider,"Active navigation: Account Type → Create Individual → Verify Account → Home"
Authentication,Verify Account — submit sign-up OTP,POST,/auth/sign-up/verify-otp,"{verificationId: string, otp: string}","{user: {id: string, name: string, email: string, phone: string, company: string, is_kyc_verified: boolean}, accessToken: string, refreshToken: string, nextStep: 'kyc'|'home'}","{code: ""INVALID_OTP"", message: ""Enter the 6-digit verification code."", fields: {verificationId: ""Verification session is required"", otp: ""Enter a valid 6-digit code""}}","{code: ""OTP_EXPIRED"", message: ""This verification code has expired. Request a new code.""}; {code: ""OTP_ATTEMPTS_EXCEEDED"", message: ""Too many incorrect codes. Request a new code.""}",None,"Matches current VerifyAccountScreen: Business continues to KYC; Individual continues to Home. Keep contact only in local route state for display; use verificationId for the API"
Authentication,Verify Account — resend sign-up OTP,POST,/auth/sign-up/resend-otp,"{verificationId: string}","{verificationId: string, maskedContact: string, expiresAt: ISO-8601 string, resendAvailableAt: ISO-8601 string}","{code: ""INVALID_VERIFICATION_SESSION"", message: ""Your verification session is invalid. Start account creation again.""}","{code: ""OTP_RATE_LIMIT"", message: ""Please wait before requesting another code.""}; {code: ""OTP_MAX_RESENDS_REACHED"", message: ""Maximum resend attempts reached. Try again later.""}",SMS provider,"Current VerifyAccountScreen incorrectly uses the forgot-passcode call for sign-up resend; replace it with this endpoint"
Authentication,Forgot Passcode — send OTP,POST,/auth/passcode/forgot,"{contact: string, isEmail: boolean}","{verificationId: string, maskedContact: string, expiresAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Enter the email address or mobile number linked to your account."", fields: {contact: ""Enter a valid contact""}}","{code: ""ACCOUNT_NOT_FOUND"", message: ""We could not find an account with these details.""}; {code: ""OTP_RATE_LIMIT"", message: ""Too many requests. Please try again shortly.""}",None,Required by the current Forgot Passcode — send OTP flow; wire it after replacing the existing mock/local data source.
Authentication,Verify Account — verify reset OTP,POST,/auth/passcode/verify-otp,"{verificationId: string, contact: string, otp: string}","{verified: boolean, resetToken: string}","{code: ""INVALID_OTP"", message: ""Enter the 6-digit verification code."", fields: {verificationId: ""Verification session is required"", otp: ""Enter a valid 6-digit code""}}","{code: ""OTP_EXPIRED"", message: ""This verification code has expired. Request a new code.""}; {code: ""OTP_ATTEMPTS_EXCEEDED"", message: ""Too many incorrect codes. Request a new code.""}",None,Required by the current Verify Account — verify reset OTP flow; wire it after replacing the existing mock/local data source.
Authentication,Set new passcode — save,POST,/auth/passcode/reset,"{resetToken: string, newPasscode: string}",{success: boolean},"{code: ""VALIDATION_ERROR"", message: ""Enter a new passcode of at least 6 characters."", fields: {resetToken: ""Reset session is required"", newPasscode: ""Passcode must contain at least 6 characters""}}","{code: ""RESET_TOKEN_EXPIRED"", message: ""Your reset session has expired. Start the passcode reset again.""}",None,Required by the current Set new passcode — save flow; wire it after replacing the existing mock/local data source.
Authentication,Profile — tap Sign out,POST,/auth/sign-out,{refreshToken: string},{success: boolean},"{code: ""INVALID_SESSION"", message: ""Your sign-out session is missing or invalid.""}","{code: ""SESSION_EXPIRED"", message: ""You were already signed out. Please sign in again.""}",None,Required by the current Profile — tap Sign out flow; wire it after replacing the existing mock/local data source.
KYC,Business KYC / Pending / Status — load status,GET,/kyc/status,{},"{status: 'not_submitted'|'pending'|'approved'|'rejected', submittedAt?: ISO-8601 string, reviewedAt?: ISO-8601 string, rejectionReason?: string, estimatedReviewTime?: string, documents: [{type: 'tradeLicense'|'vatCertificate'|'authorizedPersonId', status: 'missing'|'uploaded'|'under_review'|'approved'|'rejected', rejectionReason?: string}], capabilities: {canPlanOrders: boolean, canMakePayments: boolean}}","{code: ""UNAUTHORIZED"", message: ""Sign in to view your verification status.""}","{code: ""KYC_PROVIDER_UNAVAILABLE"", message: ""Verification status is temporarily unavailable. Please try again.""}",KYC provider,"Active navigation only: Business account. While pending, planning is allowed but payment remains disabled until approval"
